,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
429,IL23R,P61635,STAT3_BOVIN,Signal transducer and activator of transcription 3,STAT3,Bos taurus (Bovine),Reviewed,"astrocyte differentiation. cellular response to leptin stimulus. eating behavior. energy homeostasis. eye photoreceptor cell differentiation. glucose homeostasis. growth hormone receptor signaling pathway via JAK-STAT. inflammatory response. interleukin-6-mediated signaling pathway. leptin-mediated signaling pathway. phosphorylation. positive regulation of erythrocyte differentiation. positive regulation of Notch signaling pathway. positive regulation of transcription, DNA-templated. protein import into nucleus. radial glial cell differentiation. regulation of cell cycle. regulation of feeding behavior. regulation of transcription, DNA-templated. regulation of transcription by RNA polymerase II. response to leptin. sexual reproduction. temperature homeostasis. T-helper 17 cell lineage commitment. T-helper 17 type immune response",Activator. DNA-binding,Transcription. Transcription regulation,na
430,C3H1orf141,A0A4W2GNJ2,A0A4W2GNJ2_BOBOX,Uncharacterized protein,C3H1orf141,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
431,SLC35D1,A2VE55,S35D2_BOVIN,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter,SLC35D2,Bos taurus (Bovine),Reviewed,carbohydrate transport,na,Sugar transport. Transport,na
432,MIER1,Q32PJ8,HDAC1_BOVIN,Histone deacetylase 1,HDAC1,Bos taurus (Bovine),Reviewed,"circadian regulation of gene expression. histone H3 deacetylation. histone H4 deacetylation. negative regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II",Chromatin regulator. Hydrolase. Repressor,Biological rhythms. Transcription. Transcription regulation,na
433,WDR78,A0A4W2F1M6,A0A4W2F1M6_BOBOX,WD_REPEATS_REGION domain-containing protein,WDR78,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,axonemal dynein complex assembly. cilium movement. hematopoietic progenitor cell differentiation,na,na,na
434,INSL5,E1BJ68,E1BJ68_BOVIN,Insulin like 5,INSL5,Bos taurus (Bovine),Unreviewed,positive regulation of feeding behavior,na,na,na
435,TCTEX1D1,F1N459,F1N459_BOVIN,Tctex1 domain containing 1,DYNLT5,Bos taurus (Bovine),Unreviewed,na,na,na,na
436,SGIP1,E1BJV6,E1BJV6_BOVIN,Endophilin-3-interacting protein,SGIP1,Bos taurus (Bovine),Unreviewed,clathrin coat assembly. clathrin-dependent endocytosis. energy homeostasis. positive regulation of feeding behavior. positive regulation of receptor-mediated endocytosis. response to dietary excess,na,na,na
437,PDE4B,A2VE32,A2VE32_BOVIN,Phosphodiesterase,PDE4B,Bos taurus (Bovine),Unreviewed,cAMP catabolic process. cellular response to drug. cellular response to epinephrine stimulus. cellular response to lipopolysaccharide. negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process. negative regulation of relaxation of cardiac muscle. neutrophil chemotaxis. neutrophil homeostasis. positive regulation of interferon-gamma production. positive regulation of interleukin-2 production. regulation of cardiac muscle cell contraction. regulation of high voltage-gated calcium channel activity. signal transduction. T cell receptor signaling pathway,Hydrolase,na,cAMP. cGMP. Metal-binding
438,USP24,Q0VBY8,DDB2_BOVIN,DNA damage-binding protein 2,DDB2,Bos taurus (Bovine),Reviewed,DNA repair. histone H2A monoubiquitination. protein autoubiquitination. protein polyubiquitination. pyrimidine dimer repair. response to UV. UV-damage excision repair,DNA-binding,DNA damage. DNA repair. Ubl conjugation pathway,na
439,BSND,A7MB74,SGK1_BOVIN,Serine/threonine-protein kinase Sgk1,SGK1,Bos taurus (Bovine),Reviewed,apoptotic process. peptidyl-serine phosphorylation,Kinase. Serine/threonine-protein kinase. Transferase,Apoptosis. Stress response,ATP-binding. Nucleotide-binding
440,TMEM61,A0A4W2G537,A0A4W2G537_BOBOX,Uncharacterized protein,TMEM61,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
441,DHCR24,A0A3Q1M7E0,A0A3Q1M7E0_BOVIN,Delta(24)-sterol reductase,DHCR24,Bos taurus (Bovine),Unreviewed,amyloid precursor protein catabolic process. cholesterol biosynthetic process. male genitalia development. membrane organization. plasminogen activation. protein localization. skin development. steroid metabolic process. tissue development,na,na,na
442,LEXM,F1MEN5,F1MEN5_BOVIN,Lymphocyte expansion molecule,LEXM,Bos taurus (Bovine),Unreviewed,na,na,na,na
443,TTC22,A5D7C7,A5D7C7_BOVIN,LOC522691 protein,TTC22,Bos taurus (Bovine),Unreviewed,na,na,na,na
444,PARS2,F1MHD4,F1MHD4_BOVIN,Prolyl-tRNA synthetase,PARS2,Bos taurus (Bovine),Unreviewed,prolyl-tRNA aminoacylation,Aminoacyl-tRNA synthetase. Ligase,na,ATP-binding. Nucleotide-binding
445,TTC4,P19120,HSP7C_BOVIN,Heat shock cognate 71 kDa protein,HSPA8,Bos taurus (Bovine),Reviewed,"cellular response to unfolded protein. chaperone cofactor-dependent protein refolding. chaperone-mediated autophagy translocation complex disassembly. chaperone-mediated protein transport involved in chaperone-mediated autophagy. late endosomal microautophagy. mRNA processing. negative regulation of transcription, DNA-templated. protein refolding. protein targeting to lysosome involved in chaperone-mediated autophagy. RNA splicing. slow axonal transport. synaptic vesicle uncoating. vesicle-mediated transport",Chaperone. Hydrolase. Repressor,mRNA processing. mRNA splicing. Stress response. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
446,MROH7,F1MME7,F1MME7_BOVIN,Uncharacterized protein,MROH7,Bos taurus (Bovine),Unreviewed,na,na,na,na
447,FAM151A,A0A4W2HW82,A0A4W2HW82_BOBOX,Uncharacterized protein,FAM151A,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
448,ACOT11,E1BMF5,E1BMF5_BOVIN,Acyl-CoA thioesterase 11,ACOT11,Bos taurus (Bovine),Unreviewed,acyl-CoA metabolic process. fatty acid metabolic process,Hydrolase. Serine esterase,na,na
449,SSBP3,A8E4N8,A8E4N8_BOVIN,SSBP3 protein,SSBP3,Bos taurus (Bovine),Unreviewed,head morphogenesis. hematopoietic progenitor cell differentiation. mesendoderm development. midbrain-hindbrain boundary initiation. positive regulation of anterior head development. positive regulation of cell population proliferation. positive regulation of transcription by RNA polymerase II. prechordal plate formation. protein-containing complex assembly,na,na,na
450,MRPL37,A4FUC0,RM37_BOVIN,"39S ribosomal protein L37, mitochondrial",MRPL37,Bos taurus (Bovine),Reviewed,translation,Ribonucleoprotein. Ribosomal protein,na,na
451,CYB5RL,A0A3Q1LIS5,A0A3Q1LIS5_BOVIN,NADH-cytochrome b5 reductase,CYB5RL,Bos taurus (Bovine),Unreviewed,na,Oxidoreductase,na,FAD. Flavoprotein. NAD
452,CDCP2,A0A4W2EZH9,A0A4W2EZH9_BOBOX,Cytochrome-b5 reductase,CDCP2,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,Flavoprotein
453,TCEANC2,A5PKE4,TEAN2_BOVIN,Transcription elongation factor A N-terminal and central domain-containing protein 2,TCEANC2,Bos taurus (Bovine),Reviewed,"transcription, DNA-templated",na,na,na
454,TMEM59,Q3T0Q2,TMM59_BOVIN,Transmembrane protein 59,TMEM59,Bos taurus (Bovine),Reviewed,autophagy. positive regulation of autophagy,na,Autophagy,na
455,LDLRAD1,E1BLZ7,E1BLZ7_BOVIN,Low density lipoprotein receptor class A domain containing 1,LDLRAD1,Bos taurus (Bovine),Unreviewed,na,na,na,na
456,LRRC42,Q2HJ90,LRC42_BOVIN,Leucine-rich repeat-containing protein 42,LRRC42,Bos taurus (Bovine),Reviewed,na,na,na,na
457,HSPB11,Q58CS6,IFT20_BOVIN,Intraflagellar transport protein 20 homolog,IFT20,Bos taurus (Bovine),Reviewed,cardiac muscle cell differentiation. centrosome localization. cilium assembly. cochlea development. establishment of epithelial cell apical/basal polarity. establishment of planar polarity. inner ear receptor cell stereocilium organization. intraciliary transport. kidney development. neural precursor cell proliferation. opsin transport. photoreceptor cell outer segment organization. protein localization to cilium. protein localization to Golgi apparatus. protein localization to plasma membrane. regulation of autophagosome assembly. regulation of canonical Wnt signaling pathway. regulation of cilium assembly. regulation of platelet-derived growth factor receptor-alpha signaling pathway. smoothened signaling pathway. spermatogenesis. visual learning,na,Cilium biogenesis/degradation. Differentiation. Spermatogenesis,na
458,CDKN2C,A7MBB9,A7MBB9_BOVIN,CDKN2C protein,CDKN2C,Bos taurus (Bovine),Unreviewed,cell cycle arrest. G1/S transition of mitotic cell cycle. negative regulation of cell growth. negative regulation of cell population proliferation,na,na,na
459,FAF1,Q3ZBT1,TERA_BOVIN,Transitional endoplasmic reticulum ATPase,VCP,Bos taurus (Bovine),Reviewed,autophagosome maturation. autophagy. cellular response to arsenite ion. cellular response to DNA damage stimulus. cellular response to heat. DNA repair. double-strand break repair. endoplasmic reticulum stress-induced pre-emptive quality control. endosome to lysosome transport via multivesicular body sorting pathway. ERAD pathway. interstrand cross-link repair. macroautophagy. proteasomal protein catabolic process. proteasome-mediated ubiquitin-dependent protein catabolic process. protein-DNA covalent cross-linking repair. protein ubiquitination. regulation of protein localization to chromatin. stress granule disassembly. translesion synthesis. ubiquitin-dependent ERAD pathway,Hydrolase,Autophagy. DNA damage. DNA repair. Transport. Ubl conjugation pathway,ATP-binding. Lipid-binding. Nucleotide-binding
460,DMRTA2,A0A452DJ45,A0A452DJ45_BOVIN,Doublesex- and mab-3-related transcription factor A2,DMRTA2,Bos taurus (Bovine),Unreviewed,cerebral cortex regionalization. dopaminergic neuron differentiation. neuron fate specification. positive regulation of neuroblast proliferation. regulation of transcription by RNA polymerase II. sex differentiation. skeletal muscle cell differentiation,DNA-binding,na,Metal-binding. Zinc
461,ELAVL4,O18870,SMN_BOVIN,Survival motor neuron protein,SMN1,Bos taurus (Bovine),Reviewed,"DNA-templated transcription, termination. nervous system development. spliceosomal snRNP assembly",RNA-binding,mRNA processing. mRNA splicing. Neurogenesis,na
462,AGBL4,Q28824,MYLK_BOVIN,"Myosin light chain kinase, smooth muscle",MYLK,Bos taurus (Bovine),Reviewed,tonic smooth muscle contraction,Actin-binding. Calmodulin-binding. Kinase. Serine/threonine-protein kinase. Transferase,na,ATP-binding. Calcium. Magnesium. Metal-binding. Nucleotide-binding
463,BEND5,A0A4W2EYB5,A0A4W2EYB5_BOBOX,BEN domain-containing protein,BEND5,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,"negative regulation of transcription, DNA-templated",na,na,na
464,SPATA6,Q2KJG1,SPAT6_BOVIN,Spermatogenesis-associated protein 6,SPATA6,Bos taurus (Bovine),Reviewed,cell differentiation. motile cilium assembly. multicellular organism development. spermatogenesis,Developmental protein,Differentiation. Spermatogenesis,na
465,TRNAT-AGU,na,na,na,na,na,na,na,na,na,na
466,SLC5A9,E1B749,E1B749_BOVIN,Solute carrier family 5 member 9,SLC5A9,Bos taurus (Bovine),Unreviewed,sodium ion transport,na,na,na
467,SKINT1 (SKINT1L),na,na,na,na,na,na,na,na,na,na
468,TRNAR-ACG,na,na,na,na,na,na,na,na,na,na
469,TRABD2B,A0A3Q1LM89,A0A3Q1LM89_BOVIN,Uncharacterized protein,TRABD2B,Bos taurus (Bovine),Unreviewed,negative regulation of Wnt signaling pathway. positive regulation of protein-containing complex assembly. positive regulation of protein oxidation,Hydrolase,na,Metal-binding
470,SLC2A1,P27674,GTR1_BOVIN,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,Bos taurus (Bovine),Reviewed,cellular response to glucose starvation. central nervous system development. glucose import. glucose import across plasma membrane. glucose transmembrane transport. long-chain fatty acid import across plasma membrane. photoreceptor cell maintenance. protein-containing complex assembly. transport across blood-brain barrier,na,Sugar transport. Transport,na
471,ZNF691,Q17QR7,ZN691_BOVIN,Zinc finger protein 691,ZNF691,Bos taurus (Bovine),Reviewed,regulation of transcription by RNA polymerase II,DNA-binding,Transcription. Transcription regulation,Metal-binding. Zinc
472,ERMAP,A0A4W2HDS6,A0A4W2HDS6_BOBOX,B30.2/SPRY domain-containing protein,ERMAP,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
473,SVBP,Q32LJ0,SVBP_BOVIN,Small vasohibin-binding protein,SVBP,Bos taurus (Bovine),Reviewed,axon development. negative regulation of endothelial cell migration. negative regulation of protein ubiquitination. protein secretion. proteolysis. regulation of metallopeptidase activity,na,na,na
474,TMEM269,F6QA12,F6QA12_BOVIN,Transmembrane protein 269,TMEM269,Bos taurus (Bovine),Unreviewed,regulation of cytokine production. T cell receptor signaling pathway,na,na,na
475,C3H1orf50,F1MZT6,F1MZT6_BOVIN,Chromosome 3 C1orf50 homolog,C3H1orf50,Bos taurus (Bovine),Unreviewed,na,na,na,na
476,P3H1,A4FUY3,A4FUY3_BOVIN,Procollagen-proline 3-dioxygenase,P3H1,Bos taurus (Bovine),Unreviewed,bone development. collagen metabolic process. negative regulation of post-translational protein modification. protein folding. protein stabilization. regulation of protein secretion,Dioxygenase. Oxidoreductase,na,Iron. Metal-binding
477,CLDN19,A0A3Q1M8X0,A0A3Q1M8X0_BOVIN,Claudin,CLDN19,Bos taurus (Bovine),Unreviewed,actin cytoskeleton reorganization. bicellular tight junction assembly. cell adhesion. negative regulation of cell migration. negative regulation of cell population proliferation. negative regulation of gene expression. negative regulation of wound healing. neuronal action potential propagation. positive regulation of cell junction assembly. positive regulation of gene expression. positive regulation of protein phosphorylation. regulation of transepithelial transport,na,na,na
478,YBX1,P67808,YBOX1_BOVIN,Y-box-binding protein 1,YBX1,Bos taurus (Bovine),Reviewed,cellular response to interleukin-7. CRD-mediated mRNA stabilization. embryonic morphogenesis. epidermis development. in utero embryonic development. miRNA transport. mRNA processing. mRNA stabilization. negative regulation of cellular senescence. negative regulation of striated muscle cell differentiation. negative regulation of transcription by RNA polymerase II. negative regulation of translation. positive regulation of cell division. regulation of gene expression. RNA splicing. RNA transport. tRNA transport,Activator. DNA-binding. Mitogen. Repressor. RNA-binding,mRNA processing. mRNA splicing. Transcription. Transcription regulation,na
479,PPIH,Q0P5D0,PPIH_BOVIN,Peptidyl-prolyl cis-trans isomerase H,PPIH,Bos taurus (Bovine),Reviewed,mRNA processing. protein folding. protein peptidyl-prolyl isomerization. RNA splicing,Chaperone. Isomerase. Rotamase,mRNA processing. mRNA splicing,na
